Res,Noise_Param,Scale_Param,Distances_Classic,Distances_Noised,Ratios_EMD,Distances_Linear,Distances_Linear_Noised,Ratios_Linear,Cumsum_Classic,Cumsum_Noised,Ratios_emd_cumsum
100.0,0.005779692884153313,200.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.23932172208952626,0.9448041667493876,29.68560744259305,30.11471101726594,5.930117787193312e-07
100.0,0.005779692884153313,500.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.2402658576040782,0.9406082760668854,29.68560744259305,30.0067546484526,5.951452782944804e-07
100.0,0.005779692884153313,1000.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.2401857897149509,0.9412190851591585,29.68560744259305,30.151656472806476,5.922851489792555e-07
100.0,0.00896150501946605,100.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.2581502550727107,0.8765521348013294,29.68560744259305,30.4450848115885,5.865767317281366e-07
100.0,0.00896150501946605,200.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.2591798947677152,0.8729743200339342,29.68560744259305,30.625066777890133,5.831294499857361e-07
100.0,0.00896150501946605,500.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.2597450141185956,0.8718547762626572,29.68560744259305,30.36157129145152,5.881901886611398e-07
100.0,0.00896150501946605,1000.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.2589315183348674,0.8736073335043113,29.68560744259305,30.747197827232444,5.80813199508885e-07
100.0,0.013894954943731374,100.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.2990239582538277,0.7572229159603934,29.68560744259305,30.084866270264328,5.936000574354759e-07
100.0,0.013894954943731374,200.0,9.999999999999999e-05,1.7858378345967515e-05,53.576872141661106,0.2258356660500426,0.29738786783466686,0.7620415101178429,29.68560744259305,30.509635264639815,5.853356879249584e-07
100.0,0.013894954943731374,500.0,0.0001,1.7858378345967515e-05,53.57687214166113,0.2258356660500426,0.298090272755423,0.761105472168025,29.68560744259305,30.33853173758896,5.886368694580321e-07
