Category,image1_index,image2_index,Noise,SNR,Resolution,Fourier Original,Fourier Noised,Fourier Ratio,Fourier Time,L2 Original,L2 Noised,L2 Ratio,L2 Time
CauchyDensity,03,07,0.0005590169943749475,100000.0,32,1.7473874668648177,1.7550316616375052,0.9956444120412306,0.0015004396438598633,0.030557560355680465,0.039460949713760796,0.7743746812313657,0.0
CauchyDensity,03,08,0.0005590169943749475,100000.0,32,1.6708756558541171,1.712664672660504,0.9756000007044751,0.0017171621322631836,0.02719852794504559,0.03714521058433565,0.7322216651132776,0.0
CauchyDensity,03,09,0.0005590169943749475,100000.0,32,2.5448779931473604,2.548902343723274,0.998421143679426,0.0016118526458740235,0.03571069390715271,0.04387196556473509,0.8139752447256996,0.0
CauchyDensity,03,10,0.0005590169943749475,100000.0,32,2.69526580385011,2.70841537439005,0.9951449210249365,0.0015059113502502441,0.03544895196093497,0.04343267119975698,0.8161817125614258,0.0
CauchyDensity,04,05,0.0005590169943749475,100000.0,32,4.338140601678552,4.3668917518393915,0.9934161065135795,0.001499807834625244,0.04969982298044593,0.05584475313155098,0.889964055591226,0.0
CauchyDensity,04,06,0.0005590169943749475,100000.0,32,3.584767710924155,3.5775300119916906,1.0020230994312287,0.0009997725486755372,0.040394760625536805,0.04751673999899166,0.8501164142656674,0.0
CauchyDensity,04,07,0.0005590169943749475,100000.0,32,1.3990349116424676,1.4246544812083874,0.9820169943633004,0.0015000104904174805,0.02008897352960519,0.03228792585199513,0.6221822244541563,0.0
CauchyDensity,04,08,0.0005590169943749475,100000.0,32,1.354530710068462,1.4042098842132515,0.9646212616053307,0.0015195608139038086,0.01791493972638367,0.031201776445811364,0.5741640947109803,0.0
CauchyDensity,04,09,0.0005590169943749475,100000.0,32,1.71535513441001,1.7512705458520297,0.9794917972399598,0.0010096073150634766,0.023086843257407133,0.03444837458286674,0.6701867225076453,0.0
CauchyDensity,04,10,0.0005590169943749475,100000.0,32,3.7100924455717763,3.6941930630933526,1.0043038850993646,0.0015065431594848632,0.041498020516689584,0.04835823034899274,0.8581376989440217,0.0
CauchyDensity,05,06,0.0005590169943749475,100000.0,32,2.1402154181791966,2.1402651141871525,0.9999767804429337,0.0013329267501831054,0.026454796145625487,0.03638720607114069,0.7270356535179884,0.0
CauchyDensity,05,07,0.0005590169943749475,100000.0,32,3.896240571404284,3.9225636971205375,0.9932893057324789,0.0014946341514587402,0.04691733726652071,0.05351715960312127,0.876678389033643,0.0
CauchyDensity,05,08,0.0005590169943749475,100000.0,32,3.441237173788875,3.4558879088408503,0.9957606451833997,0.0005042791366577148,0.04194253453432244,0.04891276790252817,0.8574966482760534,0.0
CauchyDensity,05,09,0.0005590169943749475,100000.0,32,3.890800329203043,3.9169433665994218,0.9933256534625173,0.001174592971801758,0.04553438276675465,0.05228890634781809,0.8708230090693934,0.0
CauchyDensity,05,10,0.0005590169943749475,100000.0,32,1.8304335201040967,1.8420241525944203,0.993707665301783,0.0014899849891662597,0.024286628845600552,0.035031549787579525,0.6932787442424658,0.0
CauchyDensity,06,07,0.0005590169943749475,100000.0,32,2.7075246097386434,2.73349748348317,0.9904982997418273,0.0012121915817260743,0.0326717411307128,0.04141892669938906,0.7888118725972374,0.0
CauchyDensity,06,08,0.0005590169943749475,100000.0,32,2.6199830215919917,2.6154943565487576,1.001716182270474,0.0009998798370361329,0.03184526481681745,0.040696208695327106,0.782511831881628,0.0
CauchyDensity,06,09,0.0005590169943749475,100000.0,32,3.805286628474683,3.838511441253504,0.9913443496815602,0.0005070328712463379,0.04457909918934019,0.051426522619512346,0.8668503511148528,0.0
CauchyDensity,06,10,0.0005590169943749475,100000.0,32,0.6661820364960239,0.7165895634236632,0.9296563479283646,0.001049673557281494,0.010853563389956486,0.027490878359414724,0.3948059879374315,0.0001644730567932129
CauchyDensity,07,08,0.0005590169943749475,100000.0,32,0.9148980655929637,0.9540038688149923,0.9590087582447611,0.0010002493858337403,0.012739170718498933,0.02814136551501197,0.4526848816807856,0.0
