Category,image1_index,image2_index,Noise,SNR,Resolution,Fourier Original,Fourier Noised,Fourier Ratio,Fourier Time,L2 Original,L2 Noised,L2 Ratio,L2 Time
CauchyDensity,02,09,0.001,1024000.0,32,1.3589432050478067,1.3589398056741977,1.0000025014894662,0.0015513062477111816,0.03773602605989734,0.03773644534028714,0.9999888892452372,0.0
CauchyDensity,02,10,0.001,1024000.0,32,3.7614318313701487,3.761394386888257,1.000009954947033,0.0014995455741882325,0.0534083831693969,0.05340895710404485,0.9999892539626485,0.0
CauchyDensity,03,04,0.001,1024000.0,32,1.6000459439786945,1.6000537022390753,0.9999951512500049,0.0010003328323364257,0.02513135922011104,0.025131400872997013,0.9999983425959347,0.0
CauchyDensity,03,05,0.001,1024000.0,32,3.497983734271409,3.4979698839403297,1.0000039595341124,0.0010128378868103026,0.04855285347562155,0.0485527127740346,1.0000028979140179,0.0
CauchyDensity,03,06,0.001,1024000.0,32,2.649904418383409,2.649965480014341,0.99997695757496,0.0010108828544616699,0.036629020158886506,0.03662975954994291,0.9999798144714711,0.0
CauchyDensity,03,07,0.001,1024000.0,32,1.7473874668648177,1.7473755493652736,1.0000068202279404,0.0012738704681396484,0.030557560355680465,0.030557441806593828,1.0000038795487982,0.0
CauchyDensity,03,08,0.001,1024000.0,32,1.6708756558541171,1.6708436634544341,1.0000191474525013,0.000801992416381836,0.02719852794504559,0.027198446701509872,1.0000029870652765,0.0
CauchyDensity,03,09,0.001,1024000.0,32,2.5448779931473604,2.5448870941499004,0.9999964238089144,0.0010040521621704102,0.03571069390715271,0.03571067362747054,1.0000005678885362,0.0
CauchyDensity,03,10,0.001,1024000.0,32,2.69526580385011,2.695292292739143,0.9999901721645907,0.0010126829147338867,0.03544895196093497,0.03544936620527029,0.9999883144783768,0.0
CauchyDensity,04,05,0.001,1024000.0,32,4.338140601678552,4.338173746515116,0.9999923597258893,0.0010165333747863769,0.04969982298044593,0.0497004312197986,0.999987761889832,0.0
CauchyDensity,04,06,0.001,1024000.0,32,3.584767710924155,3.5846966323507323,1.0000198283371544,0.0015192747116088868,0.040394760625536805,0.0403939916518195,1.00001903683409,0.0
CauchyDensity,04,07,0.001,1024000.0,32,1.3990349116424676,1.3990369601798032,0.9999985357518109,0.0014648199081420898,0.02008897352960519,0.020088813463611445,1.0000079679167728,5.0234794616699216e-05
CauchyDensity,04,08,0.001,1024000.0,32,1.354530710068462,1.3545163809790401,1.000010578749451,0.001139676570892334,0.01791493972638367,0.017914779480584446,1.000008944893762,0.0
CauchyDensity,04,09,0.001,1024000.0,32,1.71535513441001,1.7153563419161912,0.9999992960610272,0.0010052919387817383,0.023086843257407133,0.02308655615087012,1.0000124360920328,0.0
CauchyDensity,04,10,0.001,1024000.0,32,3.7100924455717763,3.710110070173191,0.999995249574519,0.0014999628067016602,0.041498020516689584,0.04149827523489122,0.999993861956908,0.0
CauchyDensity,05,06,0.001,1024000.0,32,2.1402154181791966,2.1402131413648746,1.0000010638259704,0.0010001301765441895,0.026454796145625487,0.026454630053626065,1.000006278371653,0.0
CauchyDensity,05,07,0.001,1024000.0,32,3.896240571404284,3.89620881292576,1.0000081511233223,0.0014949440956115723,0.04691733726652071,0.04691690816579512,1.0000091459719398,0.0
CauchyDensity,05,08,0.001,1024000.0,32,3.441237173788875,3.44121890057124,1.0000053101003346,0.0015050053596496582,0.04194253453432244,0.04194224854520759,1.0000068186405062,0.0
CauchyDensity,05,09,0.001,1024000.0,32,3.890800329203043,3.8907769438756725,1.0000060104518218,0.0015306949615478515,0.04553438276675465,0.04553419579418897,1.000004106201118,0.0
CauchyDensity,05,10,0.001,1024000.0,32,1.8304335201040967,1.830405892271715,1.000015093828368,0.0009950637817382813,0.024286628845600552,0.024286430782402273,1.0000081553028544,0.0
CauchyDensity,06,07,0.001,1024000.0,32,2.7075246097386434,2.7075133693684834,1.0000041515474263,0.0012699246406555175,0.0326717411307128,0.032671650739765926,1.0000027666476847,0.0
CauchyDensity,06,08,0.001,1024000.0,32,2.6199830215919917,2.6199782548182804,1.0000018193943796,0.0010001778602600098,0.03184526481681745,0.03184519787520014,1.000002102094563,0.0
CauchyDensity,06,09,0.001,1024000.0,32,3.805286628474683,3.805327632594036,0.9999892245495495,0.0013099312782287598,0.04457909918934019,0.04457963082894593,0.9999880743829447,0.0
CauchyDensity,06,10,0.001,1024000.0,32,0.6661820364960239,0.6661682241619186,1.0000207340032208,0.0009591817855834961,0.010853563389956486,0.010853822881651076,0.9999760921384641,4.851818084716797e-05
CauchyDensity,07,08,0.001,1024000.0,32,0.9148980655929637,0.914887761871556,1.0000112622791966,0.000999283790588379,0.012739170718498933,0.012739025156540079,1.000011426459801,0.0
CauchyDensity,07,09,0.001,1024000.0,32,2.2079013989840837,2.2078842150502576,1.0000077829868563,0.0010048627853393554,0.029125840271993435,0.029126118716766587,0.9999904400316479,0.0
CauchyDensity,07,10,0.001,1024000.0,32,2.9037766920276398,2.9037205797275596,1.0000193242767474,0.0014950037002563477,0.035062795869266125,0.03506239874686319,1.0000113261618466,0.0
CauchyDensity,08,09,0.001,1024000.0,32,1.6186177243504236,1.61861705383954,1.0000004142492396,0.0010000109672546388,0.020112841490695733,0.02011285785174499,0.9999991865378169,0.0
CauchyDensity,08,10,0.001,1024000.0,32,2.8111568940754745,2.8111948302182657,0.9999865053313334,0.0011223793029785157,0.03335865550977125,0.03335925378643931,0.9999820656459557,0.0
CauchyDensity,09,10,0.001,1024000.0,32,3.849778047551008,3.8497747138970064,1.0000008659348272,0.001645970344543457,0.04475622976411762,0.04475615608656349,1.0000016461993293,0.0
CauchyDensity,01,02,0.0025118864315095794,407661.7426467813,32,2.3234400541511646,2.3235343343415646,0.9999594238014878,0.0008866190910339355,0.06404417932594936,0.06404528537302193,0.9999827302343002,0.0
CauchyDensity,01,03,0.0025118864315095794,407661.7426467813,32,3.6614556083375396,3.6614355576833297,1.0000054761729091,0.001000380516052246,0.06745867166968546,0.06745764623307253,1.0000152011917134,0.0
CauchyDensity,01,04,0.0025118864315095794,407661.7426467813,32,2.2629397573267185,2.262839184302155,1.0000444455024737,0.0015000581741333007,0.05660255376293487,0.056602688059603536,0.999997627380019,0.0
CauchyDensity,01,05,0.0025118864315095794,407661.7426467813,32,5.983522568544517,5.9837620011196835,0.9999599862803498,0.0015048742294311523,0.0847619745166184,0.08476578474270709,0.9999550499520502,0.0
CauchyDensity,01,06,0.0025118864315095794,407661.7426467813,32,5.367941741557863,5.367950051556728,0.9999984519232137,0.0010007858276367188,0.07968084593076377,0.07968119419986093,0.999995629218404,0.0
CauchyDensity,01,07,0.0025118864315095794,407661.7426467813,32,3.178905448318662,3.1788985196620314,1.0000021795777965,0.0,0.06700323016727106,0.06700329003682927,0.9999991064683812,0.0
CauchyDensity,01,08,0.0025118864315095794,407661.7426467813,32,3.197659443713208,3.197658656181865,1.0000002462837432,0.0010015249252319336,0.06590136046178183,0.0658996581671753,1.0000258316151232,0.0
