Category,image1_index,image2_index,Noise,SNR,Resolution,Wasserstein Original,Wasserstein Noised,Wasserstein Ratio,Wasserstein Time,Fourier Original,Fourier Noised,Fourier Ratio,Fourier Time,L2 Original,L2 Noised,L2 Ratio,L2 Time
CauchyDensity,05,08,1e-05,99999.99999999999,32,10.531209649268819,10.531055238108536,1.0000146624584898,0.0982201099395752,3.441237173788875,3.441768671564342,0.9998455742305233,0.0015760421752929687,0.04194253453432244,0.04195213887672588,0.9997710642970633,0.0
CauchyDensity,05,09,1e-05,99999.99999999999,32,12.154991946641232,12.157675742167843,0.9997792509371424,0.13454823493957518,3.890800329203043,3.8915639528513246,0.9998037746115614,0.0018606185913085938,0.04553438276675465,0.045544594352219615,0.9997757892981548,0.00010037422180175781
CauchyDensity,05,10,1e-05,99999.99999999999,32,5.517677443559573,5.518910766194817,0.9997765278897426,0.10301408767700196,1.8304335201040967,1.8309173525112492,0.9997357431745956,0.0016983509063720702,0.024286628845600552,0.024297789619481702,0.9995406671118676,0.0
CauchyDensity,06,07,1e-05,99999.99999999999,32,8.12975741110988,8.130837648597248,0.9998671431488299,0.09712238311767578,2.7075246097386434,2.707843178679645,0.9998823532531316,0.0014373779296875,0.0326717411307128,0.0326798958830278,0.9997504657804239,0.0
CauchyDensity,06,08,1e-05,99999.99999999999,32,8.122736779635392,8.123367431920162,0.9999223656580778,0.0894209861755371,2.6199830215919917,2.620075554365237,0.999964683166067,0.0013016700744628907,0.03184526481681745,0.03185033994225604,0.9998406571029449,0.0
CauchyDensity,06,09,1e-05,99999.99999999999,32,11.944110999898982,11.943828737239391,1.0000236325106295,0.11743097305297852,3.805286628474683,3.804934924403193,1.0000924336627244,0.0013820648193359375,0.04457909918934019,0.044575011982104874,1.0000916927905024,0.0
CauchyDensity,06,10,1e-05,99999.99999999999,32,1.4820528636614776,1.4809096704043638,1.0007719534013182,0.09905862808227539,0.6661820364960239,0.6662118984306978,0.9999551765215478,0.0013465404510498047,0.010853563389956486,0.010863194377809329,0.9991134294832728,0.0
CauchyDensity,07,08,1e-05,99999.99999999999,32,2.4986850374145835,2.4992201844471054,0.9997858743956006,0.09962658882141114,0.9148980655929637,0.9152900164376845,0.999571774150617,0.0012049198150634766,0.012739170718498933,0.012747703751515368,0.9993306219549211,0.0
CauchyDensity,07,09,1e-05,99999.99999999999,32,7.175793774262546,7.175025796233777,1.0001070348805117,0.07532033920288086,2.2079013989840837,2.2077163393638495,1.0000838240026286,0.001456880569458008,0.029125840271993435,0.02912868789689251,0.9999022398499667,0.0
CauchyDensity,07,10,1e-05,99999.99999999999,32,8.901178319085625,8.902962150718093,0.9997996361657762,0.09054732322692871,2.9037766920276398,2.904399628579995,0.9997855196832333,0.0015216350555419921,0.035062795869266125,0.03507374609880631,0.9996877941264289,0.0
CauchyDensity,08,09,1e-05,99999.99999999999,32,4.994826555479654,4.9953252186097,0.9999001740410838,0.15808234214782715,1.6186177243504236,1.618301281278,1.0001955402718175,0.0018241405487060547,0.020112841490695733,0.020119962401803342,0.9996460773153845,0.0
CauchyDensity,08,10,1e-05,99999.99999999999,32,8.949840342096863,8.950634429568206,0.9999112814317698,0.14441771507263185,2.8111568940754745,2.811278399158454,0.9999567794199906,0.0010521411895751953,0.03335865550977125,0.033364286149481476,0.9998312375189147,0.0
CauchyDensity,09,10,1e-05,99999.99999999999,32,12.629833542618096,12.627035940901852,1.0002215564863628,0.08511638641357422,3.849778047551008,3.849102494327448,1.0001755092841917,0.0011681556701660157,0.04475622976411762,0.04475195154182342,1.00009559856379,0.0
CauchyDensity,01,02,1.359356390878527e-05,73564.22544596405,32,3.85597850768735,3.844746241062822,1.002921458509944,0.07653517723083496,2.3234400541511646,2.3234866672405294,0.9999799383013374,0.0015152931213378907,0.06404417932594936,0.06405202124010152,0.9998775696066987,0.0
CauchyDensity,01,03,1.359356390878527e-05,73564.22544596405,32,6.693772467983513,6.6771549636902225,1.002488710294078,0.07765588760375977,3.6614556083375396,3.6610925948966675,1.00009915440035,0.0014034271240234374,0.06745867166968546,0.06745368448765163,1.0000739349091412,0.0
CauchyDensity,01,04,1.359356390878527e-05,73564.22544596405,32,3.9583661471910023,3.9456692181128346,1.003217940576438,0.08470587730407715,2.2629397573267185,2.2620515692242495,1.0003926471502917,0.0013613700866699219,0.05660255376293487,0.05659302001368027,1.0001684615744537,0.0
CauchyDensity,01,05,1.359356390878527e-05,73564.22544596405,32,13.191541672532496,13.16420183698276,1.0020768319939404,0.07589988708496094,5.983522568544517,5.983580074390868,0.9999903893913618,0.001184988021850586,0.0847619745166184,0.08477375606590881,0.9998610236252685,0.0
CauchyDensity,01,06,1.359356390878527e-05,73564.22544596405,32,12.647033752854119,12.621129778296815,1.0020524291416326,0.08246173858642578,5.367941741557863,5.367775541524052,1.000030962552835,0.0013202667236328126,0.07968084593076377,0.07968040641305449,1.0000055160073733,0.0
CauchyDensity,01,07,1.359356390878527e-05,73564.22544596405,32,7.313747370206005,7.2980034902196,1.002157285894355,0.08104534149169922,3.178905448318662,3.1788015832030245,1.0000326742997065,0.0012624740600585937,0.06700323016727106,0.0669988908517182,1.0000647669759557,0.0
CauchyDensity,01,08,1.359356390878527e-05,73564.22544596405,32,6.055209979860861,6.041113798118611,1.002333374641385,0.0820281982421875,3.197659443713208,3.1968927801535107,1.0002398152244758,0.0014053821563720704,0.06590136046178183,0.06588489342035878,1.0002499365266935,0.0
CauchyDensity,01,09,1.359356390878527e-05,73564.22544596405,32,4.530320813389161,4.520774342361074,1.00211168934902,0.07992658615112305,2.7863977907456534,2.7861334560123523,1.000094875115451,0.0013797283172607422,0.06348442502333125,0.06348320700991732,1.000019186387571,0.0
CauchyDensity,01,10,1.359356390878527e-05,73564.22544596405,32,13.157356706980474,13.129641960449424,1.0021108531835472,0.08001570701599121,5.498380079773833,5.498597768777631,0.9999604100876347,0.0010378360748291016,0.08028388518022536,0.08029448879702035,0.9998679409140795,0.0
CauchyDensity,02,03,1.359356390878527e-05,73564.22544596405,32,4.755589290716013,4.753129598005895,1.0005174890899566,0.08902826309204101,2.1472069372103646,2.1478736137022914,0.999689610930702,0.001636838912963867,0.038486592102315385,0.03850138590352157,0.99961575925492,0.0
CauchyDensity,02,04,1.359356390878527e-05,73564.22544596405,32,2.9044963655316134,2.9045649122063226,0.9999764003639853,0.08624005317687988,0.9912345266725817,0.9910550099162414,1.000181137025235,0.0016610145568847657,0.03318215615763746,0.03318235916886756,0.9999938819530865,0.0
CauchyDensity,02,05,1.359356390878527e-05,73564.22544596405,32,12.493191436248866,12.484803884308187,1.0006718208806804,0.09472565650939942,4.349934166183094,4.349802993683117,1.0000301559634237,0.0017970085144042968,0.06288954238714292,0.06289168143040445,0.9999659884548658,0.0
CauchyDensity,02,06,1.359356390878527e-05,73564.22544596405,32,10.987085581654966,10.977028021052934,1.0009162371256357,0.08842930793762208,3.5710996026636264,3.5697523423421322,1.0003774100252036,0.001613950729370117,0.05300967616983977,0.05299518903534348,1.0002733669746253,0.0
CauchyDensity,02,07,1.359356390878527e-05,73564.22544596405,32,4.841251781082099,4.837532196235447,1.0007689013107854,0.08913087844848633,1.3512120326044121,1.3503962784477346,1.0006040850154114,0.0015260696411132813,0.037529623457443505,0.03751300060528144,1.0004431224347252,0.0
CauchyDensity,02,08,1.359356390878527e-05,73564.22544596405,32,3.955563795264325,3.952616024880592,1.0007457770664232,0.09842038154602051,1.1590490766044845,1.1584050990574906,1.0005559173967016,0.001892423629760742,0.03480384345739053,0.03481612977198037,0.9996471085479545,0.0001354217529296875
CauchyDensity,02,09,1.359356390878527e-05,73564.22544596405,32,4.80011421354378,4.798042207571824,1.000431844048534,0.0942413330078125,1.3589432050478067,1.3595513320080665,0.9995527002578405,0.0014019012451171875,0.03773602605989734,0.03774033134584261,0.9998859234725361,0.0
CauchyDensity,02,10,1.359356390878527e-05,73564.22544596405,32,11.508235820113962,11.501894015302945,1.0005513704788602,0.09029536247253418,3.7614318313701487,3.7619833944116308,0.9998533850409065,0.0018303394317626953,0.0534083831693969,0.05341383560539836,0.9998979209049554,0.0
CauchyDensity,03,04,1.359356390878527e-05,73564.22544596405,32,3.578207989362104,3.5813552280283005,0.9991212157225942,0.09523119926452636,1.6000459439786945,1.600611946770218,0.999646383501844,0.0013924121856689453,0.02513135922011104,0.025149393328048213,0.9992829207566983,0.0
CauchyDensity,03,05,1.359356390878527e-05,73564.22544596405,32,8.4079355840253,8.408702872271713,0.9999087507005459,0.13963894844055175,3.497983734271409,3.4985572161119114,0.9998360804740133,0.0022109508514404296,0.04855285347562155,0.04857275238203503,0.9995903277982484,0.0
CauchyDensity,03,06,1.359356390878527e-05,73564.22544596405,32,6.685603166533704,6.687945351893353,0.9996497899973142,0.08333740234375,2.649904418383409,2.651009181359552,0.9995832670124604,0.0014667987823486328,0.036629020158886506,0.03665607641155267,0.9992618890150056,0.0
CauchyDensity,03,07,1.359356390878527e-05,73564.22544596405,32,3.832632004770251,3.8311453089774448,1.000388055182695,0.0821319580078125,1.7473874668648177,1.7479999040989214,0.9996496354303753,0.0010075569152832031,0.030557560355680465,0.03055852703030689,0.99996836645217,0.0
CauchyDensity,03,08,1.359356390878527e-05,73564.22544596405,32,3.2509935139137958,3.2505006100087215,1.0001516393824252,0.0830765724182129,1.6708756558541171,1.6708419930592098,1.0000201472042523,0.0013052940368652344,0.02719852794504559,0.02719451056607572,1.0001477275702428,0.0
